TradeSeq TradeDate DeliveryMonth SettlePrice
131 870709 8709 308.85
132 870710 8709 309.45
133 870713 8709 309.45
134 870714 8709 311.9
135 870715 8709 312.2
136 870716 8709 314.2
137 870717 8709 314.9
138 870720 8709 312.7
139 870721 8709 309.9
140 870722 8709 309.95
141 870723 8709 309.15
142 870724 8709 310.3
143 870727 8709 311.55
144 870728 8709 313
145 870729 8709 317.05
146 870730 8709 319.7
147 870731 8709 320.2
148 870803 8709 318.9
149 870804 8709 317.4
150 870805 8709 319.25
151 870806 8709 323.25
152 870807 8709 325.15
153 870810 8709 329.45
154 870811 8709 334.9
155 870812 8709 334.5
156 870813 8709 335.95
157 870814 8709 336.05
158 870817 8709 335.75
159 870818 8709 330.3
160 870819 8709 331.5
161 870820 8709 336.7
162 870821 8709 336
163 870824 8709 335.3
164 870825 8709 338.4
165 870826 8709 336
166 870827 8709 332
167 870828 8709 327.5
168 870831 8709 330.85
169 870901 8709 323.35
170 870902 8709 322.8
171 870903 8709 319.9
172 870904 8709 315.35
173 870908 8709 314.1
174 870909 8709 314.1
175 870910 8709 317.2
176 870911 8709 322
177 870914 8709 322
178 870915 8709 317
179 870916 8709 313.6
180 870917 8709 314.85
182 870921 8809 322.3
183 870922 8809 333.2
184 870923 8809 334.1
185 870924 8809 331.65
186 870925 8809 333.2
187 870928 8809 335.25
188 870929 8809 333.8
189 870930 8809 335.4
190 871001 8809 341.6
191 871002 8809 341.85
192 871005 8809 340.95
193 871006 8809 330.8
194 871007 8809 330.8
195 871008 8809 326.5
196 871009 8809 321.75
197 871012 8809 321.55
198 871013 8809 325.3
199 871014 8809 315
200 871015 8809 308.5
201 871016 8809 291.75
202 871019 8809 210.65
203 871020 8809 225.5
204 871021 8809 266.5
205 871022 8809 253
206 871023 8809 249.5
207 871026 8809 228
208 871027 8809 235.4
209 871028 8809 237.5
210 871029 8809 252
211 871030 8809 266.5
212 871102 8809 265.1
213 871103 8809 256.95
214 871104 8809 257.4
215 871105 8809 262.1
216 871106 8809 255.7
217 871109 8809 252.1
218 871110 8809 244.8
219 871111 8809 248
220 871112 8809 255.3
221 871113 8809 253.4
222 871116 8809 254.1
223 871117 8809 248.5
224 871118 8809 250.9
225 871119 8809 244
226 871120 8809 246.5
227 871123 8809 247.6
228 871124 8809 251.2
229 871125 8809 249.5
230 871127 8809 240.6
231 871130 8809 235.7
232 871201 8809 236
233 871202 8809 238
234 871203 8809 226.9
235 871204 8809 228.7
236 871207 8809 234
237 871208 8809 239.3
238 871209 8809 244.5
239 871210 8809 238.45
240 871211 8809 239.8
241 871214 8809 249.3
242 871215 8809 248.4
243 871216 8809 253.6
244 871217 8809 248.5
245 871218 8809 252.5
246 871221 8809 256.5
247 871222 8809 254.9
248 871223 8809 257.9
249 871224 8809 256.4
250 871228 8809 249.6
251 871229 8809 249.5
252 871230 8809 253.4
253 871231 8809 249.75
1 870102 8712 249.15
2 870105 8712 255.6
3 870106 8712 256
4 870107 8712 258.75
5 870108 8712 259.7
6 870109 8712 261.95
7 870112 8712 263.25
8 870113 8712 263.85
9 870114 8712 265.8
10 870115 8712 269.8
11 870116 8712 269.6
12 870119 8712 274.4
13 870120 8712 272.5
14 870121 8712 272.1
15 870122 8712 279.85
16 870123 8712 274.6
17 870126 8712 276.25
18 870127 8712 279.4
19 870128 8712 281.9
20 870129 8712 278.8
21 870130 8712 277.8
22 870202 8712 281.15
23 870203 8712 280.1
24 870204 8712 284.55
25 870205 8712 286.45
26 870206 8712 285.35
27 870209 8712 283.55
28 870210 8712 279.85
29 870211 8712 281.4
30 870212 8712 280.5
31 870213 8712 285.75
32 870217 8712 291
33 870218 8712 290.75
34 870219 8712 290.15
35 870220 8712 289.8
36 870223 8712 286.75
37 870224 8712 286.2
38 870225 8712 287.85
39 870226 8712 287.75
40 870227 8712 287.75
41 870302 8712 287.85
42 870303 8712 288.5
43 870304 8712 293.35
44 870305 8712 294.7
45 870306 8712 295.5
46 870309 8712 292.7
47 870310 8712 295.4
48 870311 8712 294.35
49 870312 8712 295.4
50 870313 8712 293.5
51 870316 8712 292
52 870317 8712 298
53 870318 8712 297.3
54 870319 8712 298.8
55 870320 8712 302.75
56 870323 8712 307
57 870324 8712 307.35
58 870325 8712 307.35
59 870326 8712 307.3
60 870327 8712 301.1
61 870330 8712 294.2
62 870331 8712 294.95
63 870401 8712 298.1
64 870402 8712 297.2
65 870403 8712 307.35
66 870406 8712 308
67 870407 8712 300.15
68 870408 8712 304.2
69 870409 8712 298.75
70 870410 8712 297
71 870413 8712 288.1
